id,plataforma,autor_categoria,texto,categoria_dor,sentimento
R01,LinkedIn,Fundador,Participar de licitação de tecnologia no Brasil é um teste de sobrevivência. O edital exige certidões que expiram a cada 30 dias e atestados de capacidade técnica que pedem que você já tenha feito exatamente a mesma coisa para um órgão do mesmo tamanho. Como uma startup de 2 anos vai ter isso? Burocracia pura que bloqueia a inovação e favorece as mesmas grandes de sempre.,Custo_Regulatorio,Negativo
R02,LinkedIn,Fundador,"O grande problema da venda pública para GovTechs não é a homologação, é o pós-venda financeiro. Ganhamos um contrato de prestação continuada de SaaS, fizemos a entrega em tempo recorde, mas a medição interna no órgão demorou 90 dias para ser assinada. O fluxo de liquidação do empenho travou. Startup não tem caixa para financiar o Estado por três ou quatro meses sem receber.",Custo_Financeiro,Negativo
R03,LinkedIn,Fundador,"Fomos integrar nosso módulo de IA na prefeitura e nos deparamos com um sistema legado da década de 1990 que não possui nenhuma API aberta. A equipe de TI interna do município se recusa a abrir o banco de dados por medo de segurança ou por pura inércia técnica. Sem interoperabilidade, qualquer solução moderna de GovTech vira um elefante branco.",Barreira_Tecnica,Negativo
R04,LinkedIn,Fundador,"Aprovamos um piloto maravilhoso com o uso do Marco Legal das Startups (CPSI). No entanto, o procurador jurídico do município vetou a continuidade do contrato alegando que o modelo de remuneração por desempenho gerava incerteza de desembolso orçamentário. O medo de punição pelo Tribunal de Contas do Estado (TCE) congela qualquer tentativa de aplicar novos marcos legais.",Inseguranca_Juridica,Negativo
R05,LinkedIn,Fundador,"Incrível ver como a mentalidade de compras públicas no Brasil ainda está presa ao menor preço absoluto. Tentamos vender uma plataforma de agendamento de saúde que reduz filas em 40%, mas fomos desclassificados porque concorremos com uma solução de formulários genéricos de baixo custo. A administração pública compra software como se estivesse comprando brita ou material de escritório.",Custo_Regulatorio,Negativo
R06,LinkedIn,Gestor Público,"Do lado de cá da caneta, a dor é real. Queremos contratar a GovTech inovadora que vimos na incubadora, mas a assessoria jurídica exige que sigamos estritamente a Lei 14.133. Se o edital não descrever detalhadamente os requisitos, o controle externo nos acusa de direcionamento. Acabamos redigindo termos de referência tão engessados que nenhuma startup consegue cumprir.",Inseguranca_Juridica,Negativo
R07,LinkedIn,Gestor Público,"A falta de braço técnico interno nas prefeituras sabota qualquer inovação tecnológica. Recebemos o software da GovTech, mas nossa infraestrutura local é tão defasada que os servidores de banco de dados caem constantemente. O cidadão reclama do aplicativo, mas a culpa não é da startup, e sim do abismo estrutural tecnológico que temos no setor público.",Barreira_Tecnica,Neutro
R08,LinkedIn,Consultor,"O Marco Legal das Startups foi um avanço teórico espetacular, mas na prática as procuradorias municipais tratam o CPSI como uma heresia jurídica. Eles buscam analogias com a antiga Lei 8.666 para justificar a necessidade de ampla concorrência analógica em contratações de alta complexidade. Falta capacitação e sobra receio de punição administrativa.",Inseguranca_Juridica,Negativo
R09,LinkedIn,Fundador,Mais um processo licitatório suspenso por causa de impugnação de concorrente tradicional de TI que alega que o edital exige tecnologias proprietárias inovadoras demais. O lobby das empresas de software legado é fortíssimo e usa o judiciário para paralisar qualquer tentativa de modernização do ecossistema municipal.,Custo_Regulatorio,Negativo
R10,LinkedIn,Fundador,"Nosso capital de giro foi drenado. Entregamos o sistema de gestão escolar em janeiro, mas a primeira parcela do pagamento só caiu em junho por causa de entraves burocráticos e assinaturas eletrônicas pendentes de secretários que mudaram de cargo. Vender para governo sem ter um pulmão financeiro de milhões é suicídio para startups.",Custo_Financeiro,Negativo
R11,Medium,Fundador,"A economia dos custos de transação explica perfeitamente por que as GovTechs morrem no 'vale da morte' das contratações públicas. O custo de conformidade para entrar em um certame — que envolve certidões fiscais negativas nas esferas municipal, estadual e federal, além de garantias bancárias absurdas — consome até 15% do valor total do contrato antes mesmo de iniciar o desenvolvimento. Isso gera uma barreira não tarifária que expulsa do jogo os players mais ágeis e eficientes.",Custo_Regulatorio,Negativo
R12,Medium,Consultor,"Analisando a governança algorítmica sob a ótica dos riscos contratuais, percebe-se que a insegurança jurídica é o maior inibidor da inovação no Estado empreendedor brasileiro. Os órgãos de controle interno e externo atuam sob uma lógica de controle ex-post punitivo, que penaliza o erro experimental inerente ao desenvolvimento de softwares ágeis. Consequentemente, o gestor de compras públicas prefere adquirir soluções de prateleira obsoletas a contratar sistemas flexíveis de GovTechs.",Inseguranca_Juridica,Negativo
R13,Medium,Gestor Público,"A barreira tecnológica que enfrentamos na administração municipal é monumental. Nossos servidores locais operam sem suporte de computação em nuvem devido a barreiras orçamentárias e de licitação. Quando uma GovTech propõe uma solução baseada em microsserviços modernos e APIs RESTful, a estrutura física simplesmente não suporta. Há uma total desconexão entre a oferta de ponta do mercado de tecnologia e a infraestrutura física de legado do governo.",Barreira_Tecnica,Negativo
R14,Medium,Fundador,"O paradoxo das GovTechs: nosso software otimiza a arrecadação tributária em 30% nas primeiras semanas, autofinanciando-se. Contudo, o rito de liquidação financeira do Estado exige o envio de pilhas de documentos em PDF assinados manualmente, passando por três diretorias diferentes para liberação do pagamento. Essa latência financeira destrói a escalabilidade do modelo SaaS no setor público.",Custo_Financeiro,Negativo
