id,esfera,categoria,categoria_descricao,texto_justificativa,objeto_complexo,objeto_descricao,valor_estimado,resultado,resultado_descricao
IMP_001,Federal,SUP_EXI,Superespecificação de Exigências: Cláusulas exigindo certificações excessivas de equipe ou experiência prévia incompatível com a complexidade real do objeto.,O edital exige que a equipe de engenheiros possua 5 certificações internacionais raras para a prestação de serviço básico de suporte a helpdesk.,0,Bens e Serviços Comuns de TI,474000.0,0,Rejeitada (Improcedente)
IMP_002,Estadual,DIR_EDI,"Direcionamento de Edital: Exigência injustificada de marcas específicas, patentes ou propriedades intelectuais exclusivas sem justificativa de compatibilidade.","A exigência no item 4.2 do edital limita a participação apenas a parceiros Gold da fabricante multinacional X, frustrando o caráter competitivo do certame.",0,Bens e Serviços Comuns de TI,1386000.0,0,Rejeitada (Improcedente)
IMP_003,Federal,INC_MER,"Incompatibilidade com Práticas de Mercado: Prazos inexequíveis de entrega, cláusulas draconianas de nível de serviço (SLA) ou escopos excessivamente amplos.",A multa de 10% por dia de atraso no SLA de suporte nível 3 em finais de semana inviabiliza a composição de preço pelas empresas concorrentes.,0,Bens e Serviços Comuns de TI,355000.0,0,Rejeitada (Improcedente)
IMP_004,Estadual,INC_ORC,"Incongruência Orçamentária: Subestimação crônica dos preços de mercado para o desenvolvimento ou aquisição tecnológica, gerando licitações desertas.","Pesquisa de preços baseou-se em cotações obsoletas de 2019, desconsiderando a inflação dos insumos de semicondutores e custos de pessoal de TI.",0,Bens e Serviços Comuns de TI,309000.0,0,Rejeitada (Improcedente)
IMP_005,Municipal,SUP_EXI,Superespecificação de Exigências: Cláusulas exigindo certificações excessivas de equipe ou experiência prévia incompatível com a complexidade real do objeto.,O edital exige que a equipe de engenheiros possua 5 certificações internacionais raras para a prestação de serviço básico de suporte a helpdesk.,0,Bens e Serviços Comuns de TI,142000.0,0,Rejeitada (Improcedente)
IMP_006,Federal,DIR_EDI,"Direcionamento de Edital: Exigência injustificada de marcas específicas, patentes ou propriedades intelectuais exclusivas sem justificativa de compatibilidade.","A especificação técnica exige tela de notebook com exatos 14.1 polegadas e carcaça metálica patenteada pela marca Y, direcionando a licitação.",0,Bens e Serviços Comuns de TI,233000.0,0,Rejeitada (Improcedente)
IMP_007,Estadual,SUP_EXI,Superespecificação de Exigências: Cláusulas exigindo certificações excessivas de equipe ou experiência prévia incompatível com a complexidade real do objeto.,O edital exige que a equipe de engenheiros possua 5 certificações internacionais raras para a prestação de serviço básico de suporte a helpdesk.,0,Bens e Serviços Comuns de TI,443000.0,0,Rejeitada (Improcedente)
IMP_008,Municipal,DIR_EDI,"Direcionamento de Edital: Exigência injustificada de marcas específicas, patentes ou propriedades intelectuais exclusivas sem justificativa de compatibilidade.","A especificação técnica exige tela de notebook com exatos 14.1 polegadas e carcaça metálica patenteada pela marca Y, direcionando a licitação.",0,Bens e Serviços Comuns de TI,729000.0,0,Rejeitada (Improcedente)
IMP_009,Estadual,DIR_EDI,"Direcionamento de Edital: Exigência injustificada de marcas específicas, patentes ou propriedades intelectuais exclusivas sem justificativa de compatibilidade.","A especificação técnica exige tela de notebook com exatos 14.1 polegadas e carcaça metálica patenteada pela marca Y, direcionando a licitação.",0,Bens e Serviços Comuns de TI,684000.0,0,Rejeitada (Improcedente)
IMP_010,Federal,INC_MER,"Incompatibilidade com Práticas de Mercado: Prazos inexequíveis de entrega, cláusulas draconianas de nível de serviço (SLA) ou escopos excessivamente amplos.",O prazo de 15 dias estabelecido para a customização total de um ERP de grande porte é flagrantemente inexequível perante a engenharia de software.,0,Bens e Serviços Comuns de TI,72000.0,0,Rejeitada (Improcedente)
IMP_011,Federal,INC_MER,"Incompatibilidade com Práticas de Mercado: Prazos inexequíveis de entrega, cláusulas draconianas de nível de serviço (SLA) ou escopos excessivamente amplos.",A multa de 10% por dia de atraso no SLA de suporte nível 3 em finais de semana inviabiliza a composição de preço pelas empresas concorrentes.,0,Bens e Serviços Comuns de TI,395000.0,0,Rejeitada (Improcedente)
IMP_012,Municipal,INC_MER,"Incompatibilidade com Práticas de Mercado: Prazos inexequíveis de entrega, cláusulas draconianas de nível de serviço (SLA) ou escopos excessivamente amplos.",A multa de 10% por dia de atraso no SLA de suporte nível 3 em finais de semana inviabiliza a composição de preço pelas empresas concorrentes.,0,Bens e Serviços Comuns de TI,50000.0,0,Rejeitada (Improcedente)
IMP_013,Municipal,SUP_EXI,Superespecificação de Exigências: Cláusulas exigindo certificações excessivas de equipe ou experiência prévia incompatível com a complexidade real do objeto.,"Exigência de atestado de capacidade técnica comprovando a migração de mais de 10 milhões de cadastros simultâneos, desproporcional ao objeto.",0,Bens e Serviços Comuns de TI,689000.0,0,Rejeitada (Improcedente)
