id,instituicao,registro,sentimento,texto
R01,MDIC,Racionalizacao,Negativo,"A proliferação de exigências acessórias na esfera aduaneira federal encarece sobremaneira a conformidade operacional de pequenos importadores, restando inviável o controle meramente documental sem coordenação central."
R02,MDIC,Racionalizacao,Negativo,"O excesso de certidões redundantes exigido para a qualificação de fornecedores nos editais municipais cria barreiras desproporcionais de entrada, asfixiando os pequenos proponentes de software."
R03,MDIC,Racionalizacao,Neutro,A desoneração tributária sobre a folha de pagamento de empresas de base tecnológica requer a contrapartida de metas contratuais objetivas junto aos órgãos de fomento industrial.
R04,MDIC,Racionalizacao,Positivo,A unificação cadastral ex-ante promovida pela nova regulamentação de compras simplifica a verificação de regularidade fiscal e reduz o tempo de instrução processual para dez dias.
R05,MDIC,Racionalizacao,Positivo,"A adoção de guias padronizadas de contratação tecnológica alinha as diretrizes da administração federal com o marco das startups, conferindo segurança processual."
R06,MDIC,Racionalizacao,Neutro,A eliminação de taxas municipais para a abertura de novos estabelecimentos inovadores integra a agenda de simplificação de negócios do ministério.
R07,MDIC,Racionalizacao,Negativo,A sobreposição de competências fiscalizadoras entre agências federais e controladorias municipais gera um ambiente de profunda paralisia regulatória para o investimento direto.
R08,MDIC,Infraestrutura,Negativo,"A precariedade dos terminais portuários da região Sudeste gera congestionamentos recorrentes, elevando os custos de frete em cerca de trinta e cinco por cento para os exportadores nacionais."
R09,MDIC,Infraestrutura,Negativo,A ausência de ferrovias integradoras ligando as bacias de produção agrícola aos portos exportadores impõe uma dependência ineficiente do modal rodoviário no transporte de cargas pesadas.
R10,MDIC,Infraestrutura,Neutro,O plano nacional de logística integrada visa reequilibrar a matriz de transportes do país nos próximos dez anos mediante leilões de concessão de ferrovias.
R11,MDIC,Infraestrutura,Positivo,A expansão das redes de telecomunicação 5G nas rodovias concessionadas viabiliza o rastreamento em tempo real e eleva a segurança das cargas de alto valor.
