id_processo,orgao,esfera,tipo_contratacao,modalidade_direta,valor_estimado,texto_justificativa,categoria_bardin,keyword_dominante,rhetorical_score,is_retorico
PNCP-JUST-2025-1000,Prefeitura de Campinas,Municipal,Pregão Eletrônico,0,358244.66,"Desenvolvimento de ferramenta de inteligência artificial explicável local (XAI) para auditoria automatizada de preços de TI em tempo real. O software de base em design science research superará a opacidade dos modelos de caixa-preta tradicionais, representando inovação legítima aplicada ao controle preventivo.",Inovação Legítima,inovacao_legitima,0.1551,0
PNCP-JUST-2025-1001,Município de Rio Claro,Municipal,Inexigibilidade,1,2275906.53,Contratação de empresa especializada para fornecimento de infraestrutura de conectividade física com fiação estruturada e repetidores. A contratação representa inovação estratégica em rede complexa com aplicação de blockchain descentralizado e deep learning para segurança periférica das dependências do órgão.,Redundância Instrumental,redundancia_buzzword,0.8656,1
PNCP-JUST-2025-1002,Comando do Exército,Federal,Inexigibilidade,1,1631914.01,"Aquisição de serviço proprietário de consultoria em BI e analytics. A modelagem demanda inovação computacional proprietária de alta especificidade técnica, exigindo do fornecedor exclusividade por direitos intelectuais decorrentes de inteligência artificial algorítmica aplicada à contabilidade pública.",Redundância Instrumental,redundancia_buzzword,0.9134,1
PNCP-JUST-2025-1003,Prefeitura de Uberlândia,Municipal,Concorrência Pública,0,384118.17,"A contratação de emergência da solução X fundamenta-se na necessidade de inovação célere nas barreiras de atendimento. Diante da iminente paralisação dos serviços públicos tributários por falha de TI, justifica-se a inexigibilidade pela inovação imediata para mitigação de riscos sistêmicos.",Urgência Retórica,urgencia_emergencial,0.8458,1
PNCP-JUST-2025-1004,Procuradoria Geral do RS,Estadual,Concorrência Pública,0,246389.44,Desenvolvimento conjunto de novo algoritmo preditivo de NLP baseado em Geração de Aumento por Recuperação (RAG) para avaliação ex-ante de editais de sustentabilidade. O projeto possui alto risco tecnológico e visa a criação de protótipo de software não disponível no mercado nacional.,Inovação Legítima,inovacao_legitima,0.09,0
PNCP-JUST-2025-1005,Ministério da Inovação,Federal,Pregão Eletrônico,0,121952.32,Desenvolvimento conjunto de novo algoritmo preditivo de NLP baseado em Geração de Aumento por Recuperação (RAG) para avaliação ex-ante de editais de sustentabilidade. O projeto possui alto risco tecnológico e visa a criação de protótipo de software não disponível no mercado nacional.,Inovação Legítima,inovacao_legitima,0.1377,0
PNCP-JUST-2025-1006,Município de Maringá,Municipal,Pregão Eletrônico,0,1451131.98,Contratação de projeto de pesquisa aplicada para otimização do tráfego urbano utilizando aprendizado por reforço profundo adaptativo em semáforos integrados. O escopo envolve incerteza técnica substancial e a ausência de soluções similares viáveis comercialmente.,Inovação Legítima,inovacao_legitima,0.1194,0
PNCP-JUST-2025-1007,Superintendência de TI do INSS,Federal,Dispensa,1,573449.78,"A contratação de consultoria especializada para migração de banco de dados e hospedagem em nuvem de tecnologia de ponta representa inovação metodológica necessária e disruptiva, eliminando servidores analógicos e estabelecendo governança informacional de padrão inovador no tribunal.",Mimetismo Tecnológico,mimetismo_erp,0.8981,1
PNCP-JUST-2025-1008,Secretaria de Educação do RJ,Estadual,Inexigibilidade,1,880070.33,"Aquisição de software de atendimento eletrônico e chat corporativo dotado de inovação nos canais de comunicação com o cidadão, garantindo modernização completa, inteligência de interface e inovação preditiva capaz de revolucionar as rotinas operacionais deste órgão estatal.",Mimetismo Tecnológico,mimetismo_erp,0.7024,1
PNCP-JUST-2025-1009,Governo do Estado da Bahia,Estadual,Pregão Eletrônico,0,3820859.37,Contrato Público de Solução (CPS) sob o Marco Legal de Startups para criação de metodologia inédita de rastreabilidade de medicamentos hospitalares via sensores e criptografia distribuída. O problema exige testagem de hipóteses em ambiente real e prototipação concorrente.,Inovação Legítima,inovacao_legitima,0.0572,0
